article_id,title,link,published_date,source,supplier,risk_direction,geopolitical_regulatory,agricultural_environmental,financial_operational,supply_chain_logistics,market_competitive,predicted_geopolitical_regulatory,predicted_agricultural_environmental,predicted_financial_operational,predicted_supply_chain_logistics,predicted_market_competitive,predicted_risk_direction,total_risk_score,risk_rank
0,South African fashion retailer TFG buys UK's White Stuff,https://www.reuters.com/markets/deals/south-african-fashion-retailer-tfg-buys-uks-white-stuff-2024-10-25/,2024-10-25 07:00:00+00:00,Reuters,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.125,0,0,0,0,1,negative,0.125,734.5
1,Hobbs-owner acquires White Stuff in bid to boost brand growth,https://www.just-style.com/news/hobbs-owner-aquires-white-stuff-in-bid-to-boost-brand-growth/,2024-10-28 07:00:00+00:00,just-style.com,White Stuff Limited,negative,0.0,0.0,0.23529411764705882,0.0,1.6875,0,0,1,0,1,negative,1.9227941176470589,228.0
2,White Stuff dress with pockets that 'hides lumps and bumps' drops from £75 to £27,https://www.nottinghampost.com/whats-on/shopping/white-stuff-dress-pockets-hides-9913704,2025-02-03 11:48:23+00:00,Nottinghamshire Live,White Stuff Limited,positive,0.0,0.0625,0.0,0.0,0.375,0,0,0,0,1,positive,0.4375,618.0
3,South Africa’s TFG acquires White Stuff,https://www.retail-insight-network.com/news/tfg-ukwhite-stuff-acquisition/,2024-10-28 07:00:00+00:00,Retail Insight Network,White Stuff Limited,negative,0.058823529411764705,0.0,0.23529411764705882,0.0,1.1875,0,0,1,0,1,negative,1.4816176470588236,301.5
4,Fiftysomethings in pink bobble jumpers: how White Stuff’s boss plans to tap midlife trends,https://www.theguardian.com/business/article/2024/jun/04/fiftysomethings-in-pink-bobble-jumpers-how-white-stuffs-boss-plans-to-tap-midlife-trends,2024-06-04 07:00:00+00:00,The Guardian,White Stuff Limited,negative,0.11764705882352941,0.0625,0.4117647058823529,0.0,1.5,0,0,1,0,1,negative,2.0919117647058822,202.0
5,Christmas knitwear sales give White Stuff a jump,https://www.thetimes.com/business-money/companies/article/christmas-knitwear-sales-give-white-stuff-a-jump-5btjzh6xr,2025-01-25 08:00:00+00:00,The Times,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.625,0,0,0,0,1,negative,0.625,544.0
6,"TFG acquires fashion and lifestyle retailer, White Stuff",https://www.bizcommunity.com/article/tfg-acquires-fashion-and-lifestyle-retailer-white-stuff-818013a,2024-10-28 07:00:00+00:00,Bizcommunity.com,White Stuff Limited,negative,0.0,0.0,0.23529411764705882,0.0,1.875,0,0,1,0,1,negative,2.110294117647059,201.0
7,Whistles owner The Foschini Group buys White Stuff for around £50m,https://www.independent.co.uk/business/whistles-owner-the-foschini-group-buys-white-stuff-for-around-ps50m-b2635673.html,2024-10-25 07:00:00+00:00,The Independent,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,1.0,0,0,0,0,1,negative,1.0588235294117647,397.5
8,It's official - TFG London is new owner of White Stuff,"https://ww.fashionnetwork.com/news/It-s-official-tfg-london-is-new-owner-of-white-stuff,1674537.html",2024-10-25 07:00:00+00:00,Fashion Network,White Stuff Limited,negative,0.0,0.0,0.17647058823529413,0.0,1.25,0,0,1,0,1,negative,1.4264705882352942,313.5
9,Knitwear and pyjamas help drive White Stuff sales higher over Christmas,https://www.msn.com/en-gb/money/other/knitwear-and-pyjamas-help-drive-white-stuff-sales-higher-over-christmas/ar-AA1xN3Q6,2025-01-24 12:54:10+00:00,MSN,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.0625,0,0,0,0,0,negative,0.0625,778.0
10,White Stuff ramps up wholesale in US,https://www.drapersonline.com/news/white-stuff-ramps-up-wholesale-in-us,2024-06-10 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.625,0,0,1,0,1,negative,0.7426470588235294,508.0
11,Whistles-owner Foschini in advanced talks to buy White Stuff,https://news.sky.com/story/whistles-owner-foschini-in-advanced-talks-to-buy-white-stuff-13239813,2024-10-23 07:00:00+00:00,Sky News,White Stuff Limited,negative,0.058823529411764705,0.0625,0.17647058823529413,0.0,0.5625,0,0,1,0,1,negative,0.8602941176470589,462.0
12,British fashion brand White Stuff acquired by TFG London,https://www.a1retailmagazine.com/latest-news/british-fashion-brand-white-stuff-acquired-by-tfg-london/,2024-10-29 07:00:00+00:00,A1 Retail Magazine,White Stuff Limited,negative,0.058823529411764705,0.0,0.23529411764705882,0.0,1.625,0,0,1,0,1,negative,1.9191176470588236,229.0
13,Fashion retailer sold for £50m,https://www.punchline-gloucester.com/articles/aanews/fashion-retailer-white-stuff-sold-for-50-million,2024-10-28 07:00:00+00:00,Punchline Gloucester,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.6875,0,0,0,0,1,negative,0.7463235294117647,505.0
14,Whistles owner is planning a deal to acquire White Stuff,https://www.retail-week.com/fashion/whistles-owner-is-planning-a-deal-to-acquire-white-stuff/7047372.article,2024-10-23 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.5,0,0,0,0,1,negative,0.5588235294117647,578.5
15,Knitwear and pyjamas help drive White Stuff sales higher over Christmas,https://www.irishnews.com/news/uk/knitwear-and-pyjamas-help-drive-white-stuff-sales-higher-over-christmas-GJ6LYYYQ3RKG5G32HUHT7SSJUY/,2025-01-24 08:00:00+00:00,The Irish News ,White Stuff Limited,negative,0.058823529411764705,0.0,0.0,0.07142857142857142,0.3125,0,0,0,0,1,negative,0.4427521008403361,616.0
16,White Stuff mulls strategic sale after unexpected takeover interest,https://www.just-style.com/news/white-stuff-mulls-strategic-sale-after-unexpected-takeover-interest/,2024-02-20 08:00:00+00:00,just-style.com,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.5625,0,0,1,0,1,negative,0.6801470588235294,527.5
17,White Stuff founders to sell business for cool £40m,https://www.thetimes.com/business-money/companies/article/white-stuff-founders-sell-business-tfg-london-jqz7tfq03,2024-10-25 07:00:00+00:00,The Times,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.0625,0,0,0,0,0,negative,0.0625,778.0
18,White Stuff revenue increases,https://www.drapersonline.com/companies/white-stuff-revenue-increases,2024-07-31 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.6875,0,0,0,0,1,negative,0.7463235294117647,505.0
19,White Stuff sold to TFG as founders exit,https://www.drapersonline.com/news/white-stuff-sold-to-tfg-as-founders-exit,2024-10-25 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.058823529411764705,0.0,0.11764705882352941,0.0,0.5,0,0,1,0,1,negative,0.6764705882352942,530.5
20,"Think M&S, White Stuff and Mint Velvet will make you look frumpy? Here are the pieces even your daughter will",https://www.dailymail.co.uk/femail/article-13151947/mother-daughter-fashion-spring-ms-white-stuff-mint-velvet.html,2024-03-04 08:00:00+00:00,Daily Mail,Mint Velvet,negative,0.0,0.0625,0.11764705882352941,0.0,1.25,0,0,1,0,1,negative,1.4301470588235294,311.0
21,Knitwear and pyjamas drive strong Christmas sales at White Stuff,https://www.drapersonline.com/news/knitwear-and-pyjamas-drive-strong-christmas-sales-at-white-stuff,2025-01-24 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.6875,0,0,0,0,1,negative,0.7463235294117647,505.0
22,White Stuff partners with Create to tackle loneliness,https://internetretailing.net/white-stuff-partners-with-create-to-tackle-loneliness/,2024-08-21 07:00:00+00:00,InternetRetailing,White Stuff Limited,negative,0.058823529411764705,0.0625,0.17647058823529413,0.0,0.0625,0,0,1,0,0,negative,0.3602941176470588,669.0
23,"White Stuff has been bought by The Foschini Group, owner of Whistles, Phase Eight and Hobbs",https://www.retail-week.com/fashion/white-stuff-has-been-bought-by-the-foschini-group/7047384.article,2024-10-25 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,1.0,0,0,0,0,1,negative,1.0588235294117647,397.5
24,White Stuff to open first airport store in London Gatwick,https://www.drapersonline.com/news/white-stuff-to-open-first-airport-store-in-london-gatwick,2024-10-10 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.375,0,0,0,0,1,negative,0.375,645.5
